N,M,epoch,error
1.0,1.0,1000.0,0.0033868671131935895
1.0,1.0,2000.0,0.004256283310872289
1.0,1.0,3000.0,0.00818271237314725
1.0,1.0,4000.0,0.017744886978250284
1.0,1.0,5000.0,0.003411848359720956
1.0,1.0,6000.0,0.5343118431156997
1.0,1.0,7000.0,0.02512904021678928
1.0,1.0,8000.0,0.08646213337044978
1.0,1.0,9000.0,0.012122633289732785
1.0,1.0,10000.0,0.0038619932307060174
1.0,2.0,1000.0,0.005077571467928947
1.0,2.0,2000.0,0.003654968707004256
1.0,2.0,3000.0,0.0036828466049024624
1.0,2.0,4000.0,0.008745345425184157
1.0,2.0,5000.0,0.0018443672378525813
1.0,2.0,6000.0,0.007553523612654212
1.0,2.0,7000.0,0.0019496364962672938
1.0,2.0,8000.0,0.0036050475043907996
1.0,2.0,9000.0,0.01651404368886229
1.0,2.0,10000.0,0.002261090931183473
1.0,3.0,1000.0,0.0035539316649481584
1.0,3.0,2000.0,0.007928563201812212
1.0,3.0,3000.0,0.0031471764197153426
1.0,3.0,4000.0,0.0019926831114750175
1.0,3.0,5000.0,0.21244628780430566
1.0,3.0,6000.0,0.006187280807312811
1.0,3.0,7000.0,0.004320565619174763
1.0,3.0,8000.0,0.008030866695405195
1.0,3.0,9000.0,0.0057659998895549505
1.0,3.0,10000.0,0.002236066082442844
1.0,4.0,1000.0,0.015263787837725928
1.0,4.0,2000.0,0.004530296322999595
1.0,4.0,3000.0,0.002427518981065673
1.0,4.0,4000.0,0.0038906885466914454
1.0,4.0,5000.0,0.003174203604174023
1.0,4.0,6000.0,0.0027258296650580216
1.0,4.0,7000.0,0.004635587649077362
1.0,4.0,8000.0,0.0024754734559895835
1.0,4.0,9000.0,0.001957528433131929
1.0,4.0,10000.0,0.002533494177091002
1.0,5.0,1000.0,0.003389548238325099
1.0,5.0,2000.0,0.001968625783485713
1.0,5.0,3000.0,0.0022418802463980464
1.0,5.0,4000.0,0.001761154487582056
1.0,5.0,5000.0,0.004349106189134654
1.0,5.0,6000.0,0.0020767131911748693
1.0,5.0,7000.0,0.002069390627739804
1.0,5.0,8000.0,0.0024835948209452185
1.0,5.0,9000.0,0.0032449980663149724
1.0,5.0,10000.0,0.0019262784743228466
1.0,6.0,1000.0,0.0029907266230658675
1.0,6.0,2000.0,0.0030770794711074655
1.0,6.0,3000.0,0.003004015864981977
1.0,6.0,4000.0,0.00220789468492572
1.0,6.0,5000.0,0.00317496995895417
1.0,6.0,6000.0,0.002089647966493468
1.0,6.0,7000.0,0.0014689249712091298
1.0,6.0,8000.0,0.0035286001815991344
1.0,6.0,9000.0,0.002014731916480108
1.0,6.0,10000.0,0.0016467532012484818
1.0,7.0,1000.0,0.0021998716431852043
1.0,7.0,2000.0,0.0019412127696854923
1.0,7.0,3000.0,0.0023002502888376966
1.0,7.0,4000.0,0.0014045610685411904
